Barcode,Name,Sales Price,Sales Description,Description for the website,Origin,Website Product Category,barcode_norm,expiration_date,date_repaired
3850104051012,Ajvar sauce (mild) PODRAVKA,4.90,690g,,,Padažai - pastos ir užtepėlės / Padažai,3850104051012,,
3850104051029,Ajvar sauce (mild) PODRAVKA,4.40,350g,,,Padažai - pastos ir užtepėlės / Padažai,3850104051029,,
6287005470869,Ajwa Datules AL SHARQ DATES,8.50,200g,,,Džiovinti vaisiai - daržovės / Džiovinti vaisiai,6287005470869,,
4770405227048,Akvile Natural mineral water,0.90,500ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,4770405227048,,
4772122006302,Allspice pepper,3.99,70g,,,Prieskoniai / Prieskonių mišiniai,4772122006302,,
8022470227840,Almond Draje CONFETTI,8.00,500g,,Italy,Saldumynai (chalva - lokumas - šokoladas - batonėliai),8022470227840,,
8690949000067,Almond bar TEMPO,1.45,40g,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Batonėliai - sausainiai,8690949000067,,
8717973290841,Almond flour ANATOLIA,4.50,200g,,,Kruopos (ryžiai - makaronai - miltai - tortilijos) / Miltai,8717973290841,,
4250129821017,Almond nut bar FEYZA,1.10,40g,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Batonėliai - sausainiai,4250129821017,,
3155700000533,Almond oil HUILERIE DE LAPALISSE,10.99,250ml,,,Actas - aliejus / Aliejus,3155700000533,,
4260649141953,Almonds (Raw) DERMANN,4.35,200g,,,Riešutai - sėklos ir užkandžiai / Riešutai,4260649141953,,
4260649141960,Almonds (Roasted and salted) DERMANN,4.35,200g,,,Riešutai - sėklos ir užkandžiai / Riešutai,4260649141960,,
8717973290476,Almonds ANATOLIA,4.50,200g,,,Riešutai - sėklos ir užkandžiai / Riešutai,8717973290476,,
5900942137022,Aluminium Folio 29cm X 12 mt PACLAN,2.90,,,,Pramoninės prekės - higienos priemonės,5900942137022,,
4779024851740,Aluminium Folio 29cm X 60 mt STARPAKAS,9.50,,,,Pramoninės prekės - higienos priemonės / Pramoninės prekės,4779024851740,,
8691685005972,Alyvuogiu aliejaus šampūnas EYUP SABRI,8.50,600ml,,,Pramoninės prekės - higienos priemonės,8691685005972,,
4779030397041,Amaranth seeds,3.39,350g,,,Prieskoniai / Grynieji prieskoniai,4779030397041,,
8684477430113,Ananasų skonio gėrimas su baziliko sėklomis MONTANA,2.35,250ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,8684477430113,,
8699580004021,Anise tea DOGADAN,2.99,40g,,,Arbata - kava / Žolelių arbata,8699580004021,,
8717552025048,Anyžiaus sėklos GULCAN,4.20,150g,,,Prieskoniai / Grynieji prieskoniai,8717552025048,,
8680618011241,Apatinės kelnaitės 0-6mėn,12.10,1vnt.,,,apranga,8680618011241,,
8680618005912,Apatinės kelnaitės 0-6mėn.,12.10,1vnt.,,,apranga,8680618005912,,
8680618600063,Apatinės kelnaitės 6-12mėn. (3vnt.),50.10,1vnt.,,,apranga,8680618600063,,
4262396735225,Apelsinu Dzemas HUNKAR,3.25,380g,,,,4262396735225,,
8697217081421,Apelsinų skonio tirpusis gėrimas USAS,3.95,250g,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,8697217081421,,
5901067460019,Apple & Carrot & Strawberry Juice KUBUS,1.65,400ml,,,Gėrimai (sultys - gaivieji gėrimai) / Sultys - nektarai ir sulčių gėrimai,5901067460019,,
4779052061098,Apple BONSU,2.10,330ml,,,Gėrimai (sultys - gaivieji gėrimai) / Gaivieji gėrimai,4779052061098,,
4770569915393,Apple Juice GRANINI,1.89,250ml,,,Gėrimai (sultys - gaivieji gėrimai) / Sultys - nektarai ir sulčių gėrimai,4770569915393,,
8690816982861,Apple Vinegar FERSAN,3.49,500ml,,,Actas - aliejus / Actas,8690816982861,,
4860109430261,Apple chips,4.70,30g,,,Riešutai - sėklos ir užkandžiai,4860109430261,,
8690719102090,Apple tea DOĞUŞ,3.00,20vnt.,,Turkey,Arbata - kava / Vaisinė arbata,8690719102090,,
8717973290186,Apples with cinnamon ANATOLIA,4.90,200g,,,Arbata - kava / Vaisinė arbata,8717973290186,,
8690792013016,Apricot Jam GULSAN,3.00,380g,,,Sirupai - džemai - uogienės - sezamo pasta,8690792013016,,
8697436525089,Apricot Jam with Fruit Pieces CILOGLU,3.00,400g,,,Sirupai - džemai - uogienės - sezamo pasta,8697436525089,,
8691573095573,Apricot jam BURCU,2.50,380g,,,Sirupai - džemai - uogienės - sezamo pasta,8691573095573,,
4251354813792,Apricot jam GULCAN,2.50,380g,,,Sirupai - džemai - uogienės - sezamo pasta,4251354813792,,
4251354810401,Apricot jam GULCAN,2.50,380g,,,Sirupai - džemai - uogienės - sezamo pasta,4251354810401,,
6210062011409,Apricot paste SAHHA,3.95,400g,,,Padažai - pastos ir užtepėlės,6210062011409,,
8000070038967,Arabic Ground MERRILD,6.50,250g,,,Arbata - kava / Kava,8000070038967,,
8690661088053,Arbatiniai sausainiai GESAS,4.90,700g,,,Saldumynai (chalva - lokumas - šokoladas - batonėliai) / Batonėliai - sausainiai,8690661088053,,
8692952091551,Arbatos stiklinė LAV,7.50,,,,Pramoninės prekės - higienos priemonės / Pramoninės prekės,8692952091551,,
